Age,Wing,Weight,Culmen,Hallux,Tail
0,386,1059,25.5,30.5,214
1,384,1147,29,35,229
1,351,949,26.8,29.7,213
1,168,102,9.6,11.9,138
1,363,973,24.8,27.3,213
1,199,196,12.4,15.2,158
1,235,327,16.5,20.3,193
0,374,1064,26,32.1,201
1,369,749,24,26.8,216
1,202,201,11.7,14.9,165
1,202,180,12.4,14.1,160
1,374,1213,24.9,28,244
1,389,1200,28.2,30.8,230
1,379,1040,25.3,29.4,227
1,170,113,10.6,11.1,139
1,373,919,24.2,28.5,233
1,403,1487,26,32.5,240
1,400,1254,25.2,30,237
0,205,156,10.8,14.1,144
1,405,1189,27.7,31.3,210
1,382,979,24.8,27.9,225
0,165,96,10.7,11.4,125
1,407,1339,27.3,33.4,246
1,403,1199,28.8,31,225
1,406,1344,27.9,33.1,230
1,381,969,26.1,31.1,220
1,395,1039,26,29.7,230
1,410,1054,28.5,31.5,233
0,243,334,17.5,19.2,196
1,170,101,9.8,11,135
0,210,181,12.2,15,170
0,425,1449,30.3,33,232
1,402,985,26.6,29.8,234
0,480,1598,34.2,35.4,239
1,412,992,30.1,31.5,230
1,260,569,19.1,24,227
0,381,1354,28.2,32,213
0,392,969,25.9,29,207
1,382,1080,25.3,31,214
0,196,185,12.5,14,146
0,391,1097,27.9,32.8,217
0,397,1439,28.8,31.4,216
1,376,1019,25.8,29.5,216
0,410,1239,29.5,31.8,222
1,381,1399,27.6,31.3,288
1,396,1169,27.5,25.2,238
1,383,1164,27,29.9,199
1,203,176,11.5,14.7,161
1,255,429,19,22.9,208
1,196,160,12.3,14.7,137
1,168,105,10.2,11,143
1,392,890,24.1,29.2,219
1,163,100,9.7,11.6,128
1,395,1215,28.3,33,236
1,163,100,9.9,11.3,131
1,370,1030,27.6,31.4,225
0,225,340,15.7,19.4,190
1,197,165,11.9,9.6,150
1,376,985,26.4,30.3,223
1,372,975,26.5,31.6,225
1,391,1165,28.2,32.4,241
1,165,95,9.7,11.2,136
1,364,1044,23.5,29,210
0,202,180,12.9,15,160
1,163,125,9.7,10.9,135
1,375,890,24.6,28,219
1,392,1105,26.4,33.6,229
0,398,1310,28.3,35.2,211
1,371,895,26.8,31,204
0,367,1060,26.8,31,204
0,193,165,13.2,14.6,146
0,375,960,28.9,29.3,214
1,408,1270,29.4,33,236
0,252,540,20,28.8,185
0,237,365,17.3,19.9,195
1,399,1170,28.3,29.9,247
0,268,590,20,19.9,215
1,388,1225,29,31.5,227
0,200,175,12.3,15.6,155
1,192,170,12.4,15.5,159
0,167,100,10,11.3,132
1,370,1060,26.6,31.9,225
0,162,110,10,11.8,130
1,363,850,25.5,30,220
1,371,1145,25.5,10.3,215
0,199,165,12.5,15.7,161
1,386,1090,26.1,28.2,226
1,400,1345,32.6,33.9,227
1,390,1050,26.6,29,236
0,199,200,12.5,14.9,169
0,254,505,19.6,24,212
0,382,1040,27.1,30.8,210
0,196,155,12.7,14.3,164
1,354,965,26.2,28.5,226
1,403,1105,28.9,33.2,242
1,194,155,12.6,13.7,153
1,375,1045,27.2,30,221
1,369,900,24.4,27.3,220
1,368,1015,25.7,30.3,219
0,393,1385,27.9,32.6,225
1,370,1165,26,31.5,221
1,378,905,28,32.3,215
1,369,985,26,31.1,223
1,364,800,25.5,28.6,219
1,387,995,26.9,31.4,235
0,410,1460,29.4,33.6,216
1,194,165,11.9,14.1,151
0,410,1585,30.6,39.8,130
0,194,185,13.1,15.5,154
1,373,920,25,28.3,223
1,390,1460,29.3,35.6,221
0,404,1315,30,32.5,220
1,375,1019,26,29.9,186
1,395,1215,29.7,31.3,217
1,379,1005,27.8,31.4,209
1,382,1350,27.9,29.9,215
1,404,1145,27.7,31.8,214
0,205,175,12.25,15.5,169
0,377,1010,25.4,29,207
1,184,155,12,14.9,153
1,390,1120,26.6,30,210
0,404,280,28.2,31.55,224
1,351,775,25.4,29.3,200
1,394,1210,29.4,31.7,207
0,175,107,10,11.4,137
0,372,909,24.4,25.4,212
1,169,95,10,11.85,132
1,376,1145,25.1,31.55,226
1,399,1150,27.2,29.55,232
1,399,1560,30,33.85,228
1,357,940,23.6,28.35,205
1,195,145,11.7,14.6,155
1,400,1089,27.3,33.1,228
1,382,1194,29.4,33.8,237
1,161,95,10.1,11.3,135
1,390,1015,28,30.1,230
1,379,975,24.1,29.1,219
1,376,1035,26.8,30.5,223
0,331,1055,27,30.4,210
1,371,945,26.1,30.2,222
1,160,90,11,11.8,124
1,361,785,25.2,28.7,201
0,268,56,19.3,26.1,206
1,394,1220,30.3,34.5,234
0,191,175,13,15.3,149
0,358,1025,27.4,29,204
1,380,1000,26.9,29,204
0,188,175,12.1,14.2,154
1,397,1210,28.3,34,224
0,196,180,13.1,13.9,150
0,190,175,12.8,14.6,147
1,161,90,9.8,11.1,130
0,145,320,16.5,20.5,180
1,392,1185,28.5,33,229
1,230,350,16.4,21.3,187
1,363,950,24.6,30.3,214
1,162,85,10.1,11.4,132
1,374,895,26.4,30.8,219
1,412,1150,27.8,33.2,230
1,272,565,20.7,24,219
1,388,950,26.5,32.2,230
1,371,990,26.9,29.7,217
1,225,325,15.8,18.7,179
1,391,1120,29,33.9,225
1,163,90,9.8,11.5,123
1,410,1120,28.5,33.6,229
1,368,820,25.2,28.7,215
1,410,1200,26.7,29.4,247
0,425,1120,29.4,33.3,222
1,368,1120,24.7,30.8,220
1,392,1220,27.3,34.1,234
1,250,470,18.9,25.3,192
1,418,1310,29.1,31.9,248
1,370,920,26.8,29.7,221
0,170,100,10.9,12.2,132
0,203,180,13.2,15.6,162
0,370,955,26.5,30.5,218
0,408,1225,28.8,32.7,225
0,393,1400,27.9,35.3,215
1,365,1025,24.6,30.1,225
1,405,1140,28.2,31.9,244
1,381,1080,26.1,31.6,232
1,390,1135,27.6,31.1,238
1,384,1430,29.8,35,231
1,390,1050,25.6,29.9,218
1,381,920,27,29.6,223
0,194,175,12.4,14,152
1,371,905,23.6,26.8,197
1,356,915,26.4,28.9,195
1,377,910,25,29,206
1,362,950,25.4,29.7,213
0,165,105,10.1,11.8,127
0,155,100,9.3,11.8,122
1,400,1225,27.3,34.2,222
0,161,105,10.4,12,124
1,387,1090,27.9,32.4,227
1,409,1350,30,32.7,235
0,195,200,13,13.4,158
0,196,200,13.5,15.4,150
0,169,100,10,11.7,133
1,385,940,26.2,30.5,228
1,377,920,24.7,29.3,219
1,400,1190,29.4,33.3,231
1,164,90,9.4,10.7,127
0,165,95,10.4,11.4,127
1,363,915,25,28.3,209
0,266,535,18.8,25.4,223
1,403,1310,29.1,33.3,237
1,375,950,26.9,30.1,210
0,166,120,10.1,11.7,133
1,373,975,26.1,27.9,215
1,373,990,27.9,31,217
0,170,110,11.4,121,135
0,373,1270,26.5,29.6,207
1,354,960,26,31,211
1,394,1290,28.8,30.7,225
1,165,95,10.2,11.6,131
0,261,505,19.2,25.1,203
1,377,1045,26.9,31.5,223
1,364,1090,27.1,30.3,218
1,385,1180,28.6,30,222
1,390,1195,27.6,34.7,235
0,383,1055,27.7,32.7,208
1,365,1025,26.1,30.3,216
1,201,175,12,14.8,157
1,376,940,25.1,31.7,217
0,402,1335,28.3,33.3,219
1,394,1085,29.4,32.7,235
1,223,375,16.2,20.7,185
0,378,1090,28,30.9,212
1,369,995,26,28.2,211
0,378,1090,28,30.7,201
0,262,1020,28,31.2,200
1,165,100,10.6,12.1,137
0,379,1000,28.6,32.2,217
1,380,1085,27.4,33.3,223
0,380,1045,24.9,27,199
1,393,1060,27.7,32.4,217
0,389,1135,27.1,32.1,207
1,395,1210,28.5,28.5,222
1,207,185,13,14.3,163
1,367,965,24.8,24.1,217
0,368,905,26.8,27,200
1,377,1125,25.3,29.5,220
1,374,950,27.2,29.8,216
0,385,1195,27.3,30.9,216
1,363,1005,25,31.6,222
1,164,95,11.4,130,136
0,199,175,12.3,15,142
1,378,995,26.2,30,213
1,200,165,12.1,14.2,154
1,405,1170,29.25,39.8,226
1,194,145,12,14.6,156
1,190,175,12.4,15.2,160
1,195,170,13.1,14.8,149
1,161,105,10.3,11.2,131
1,168,95,10,11.4,137
1,160,95,9.8,10.8,126
1,392,1085,31.2,34.6,210
1,201,165,12.3,14.8,165
1,395,1115,27.4,32.7,235
1,390,1195,27.6,33,222
1,161,100,9.8,11.9,129
0,230,365,16.9,23.55,192
1,192,170,11.9,9.5,156
1,156,90,9.8,11.3,135
1,158,95,10.7,11.1,129
1,167,115,9.8,11.4,131
1,199,155,11.9,14.5,160
1,320,229,17,21,195
0,389,1165,29,33.1,223
1,227,155,17.1,21,192
0,230,340,16.1,20.2,198
0,199,180,12,15.5,152
1,378,235,25.4,30.7,223
1,164,105,10.2,11.2,132
0,385,1085,27.5,30.8,216
1,369,970,26.1,30.4,207
1,378,1030,28.5,31.9,218
1,373,1015,25.5,29.6,215
0,419,1030,29.2,31.5,224
1,414,1215,26.4,29.2,242
0,203,185,13.5,14.2,157
0,162,95,10.2,11,119
1,165,95,10,11,130
0,161,95,9.7,11,124
1,161,110,10.1,11.8,130
1,404,1170,28.4,32.8,237
1,165,105,10.4,11.2,140
0,199,175,12.8,14.5,159
1,171,95,10.9,11.7,138
0,213,190,13.7,15.2,159
0,169,105,10.2,11.8,136
1,379,1435,27.4,32.7,221
1,407,1235,30.1,35.8,243
1,376,1055,29.5,32.2,222
1,380,1105,22,30.8,208
0,172,120,9.8,11.8,132
1,408,1390,28.4,32.7,245
0,167,105,10.3,10.8,131
0,374,1080,26.5,31.3,206
1,376,910,26.1,32.2,220
1,258,490,18,24.2,214
1,370,845,25,27.4,217
0,202,175,13.3,14.9,162
1,363,865,25.6,27.3,210
0,200,180,11.9,13.5,163
1,372,2030,26.2,30.2,196
0,378,960,24.6,30,206
0,254,515,19.5,23.8,218
1,361,970,26.3,30.7,218
0,389,1265,26.6,30.6,210
0,404,1300,29.4,32.8,224
1,195,170,12.9,14.7,154
1,203,191,13.5,15.5,161
0,253,540,19.1,22.6,209
1,199,185,12,14.9,157
1,194,165,11.9,14.4,158
0,196,205,12.2,14,156
1,168,95,10.4,12.1,133
0,395,1170,25.8,30.5,218
1,368,1075,27.7,31.7,213
1,210,200,12.1,15.3,165
1,401,965,25.8,29.1,235
1,355,785,22.7,25,206
0,377,1095,25.6,31.7,206
1,197,160,12,14.7,153
1,171,95,9.1,11.5,135
0,277,1500,29.7,32.1,207
0,435,1595,27.4,34.5,230
1,372,985,25.4,31,224
0,260,565,20,24.2,216
1,390,240,25.2,29.3,218
1,359,875,26,31.1,215
1,393,1225,29,33.4,226
1,402,1255,30.6,34.6,242
1,362,950,26.8,30.7,212
1,227,330,16,18.5,193
0,359,895,27.5,30.1,201
1,155,100,9.8,12,129
1,261,455,17.1,26.8,216
1,160,90,10.3,11.5,132
1,166,105,11.3,11.4,131
1,362,1305,28.2,34.3,234
1,375,975,27.2,31.8,220
1,388,1185,28.9,34.3,225
1,392,1030,26.1,30.5,214
1,412,1215,28.7,34.1,230
1,371,1075,26.9,32.8,220
0,255,960,19.7,42.8,200
1,391,795,24.3,27.6,209
1,190,180,12.2,14.2,156
1,385,1225,27.8,32,225
1,166,110,10,11.9,139
0,197,165,12.2,14.9,159
1,370,920,26.3,32,226
1,190,170,12,15,154
1,400,1315,29.6,34,230
1,162,100,9.4,11.1,131
1,194,155,12.5,14.5,156
1,395,1155,29.9,34.4,233
1,403,1160,29,32.3,235
1,386,955,27.9,30.4,226
0,193,190,13.1,14.9,145
0,203,180,13.8,14.7,156
0,159,90,10,11.5,130
1,163,100,9.8,11.7,130
0,191,190,12.4,14.8,147
1,166,105,10.3,12,141
1,361,1030,27,30.5,231
0,260,565,19.7,54.5,205
0,234,380,12.4,21.9,192
1,377,1040,28.1,30.9,225
1,361,910,24.3,27.5,205
1,375,1005,26,32.5,226
1,193,180,11.9,14.3,156
1,196,175,12.4,15.6,153
1,159,105,9.8,11,131
1,192,190,11.8,14.2,155
1,401,1250,28.2,35.3,230
1,198,185,12.6,15.2,165
1,407,1275,27.5,33.7,238
1,162,105,9.8,12.5,132
0,169,640,16.7,23.6,233
1,168,100,10.5,10.7,135
0,168,105,10.7,11.6,134
0,223,390,15.9,20.6,181
1,375,1030,26.9,31.3,217
0,406,1290,29.3,33.3,227
1,386,1020,26.9,31.6,230
0,160,105,9.9,11.4,136
1,378,1055,26.5,29.9,217
0,193,185,12.3,14.8,154
1,379,1010,25,29.3,216
1,364,1015,24.9,29.5,215
0,350,1115,29.5,30.3,199
1,380,1320,26.7,31.6,210
0,395,1180,30.3,33.4,217
1,372,1145,25.9,32.2,212
1,376,995,28,30.2,223
1,367,1045,26.1,30.5,215
1,230,340,16,19.5,196
1,366,935,25.7,27.1,218
1,386,1065,26.1,31,221
1,375,1110,27.7,31.3,215
1,199,190,12,15.2,163
0,405,1255,27.9,31.8,218
0,371,1015,24.9,28.4,204
1,193,190,12.2,15.2,151
1,350,960,26.6,29.9,218
1,193,200,11.3,13.5,155
0,368,1090,27.3,30.4,216
1,185,170,12,14.7,156
1,372,1085,25.4,29.8,220
1,396,1065,27.7,30,230
1,365,1125,26.9,29.3,213
1,374,1050,25.5,30.3,220
1,253,525,19.5,23.5,213
1,372,980,26.4,29,215
1,376,1180,24.4,30.7,214
1,166,115,9.9,11.6,136
1,369,1095,26.6,28.4,215
0,391,1330,26.8,30.1,217
1,193,185,12.1,14.9,158
0,397,1100,22.1,28.8,219
1,366,1115,27.1,21,215
0,385,1400,30.3,33.3,211
1,400,1175,27.6,32.6,234
1,198,185,11.8,15.1,161
0,365,970,25.9,31.6,208
1,194,170,11.6,14,153
1,195,175,12,15.6,152
1,200,165,11.5,14.5,163
1,384,1260,28.6,32.5,226
1,159,110,9.9,11.1,125
1,161,100,9.3,11.5,134
1,191,190,12.3,14.8,162
1,216,305,16,20.4,185
1,256,510,18.8,23.3,212
1,161,90,9.5,11.3,123
0,396,1195,27,23.8,228
1,391,1035,27.9,33.1,221
1,160,90,8.8,11.4,131
1,183,160,12.7,14.6,143
1,156,85,9.7,11,129
1,393,1155,28.3,30.9,223
1,397,1260,27.8,32.9,232
1,159,95,8.9,10.4,125
1,255,440,18.6,22.8,214
1,197,175,10,14.9,150
1,218,295,16.1,19.4,183
1,196,160,12.6,14.5,158
1,384,1010,26.8,31.1,230
1,385,990,26,29.6,225
1,181,150,11.4,14.3,141
1,225,300,16,20.1,183
1,379,945,24.5,31.3,224
1,201,188,11.7,14.9,162
1,161,95,10.6,11.5,131
0,230,330,15.7,19.4,188
1,159,95,9.9,11.2,132
1,367,970,26.4,30.5,215
1,396,1240,28.9,32.8,237
1,157,105,10,11.5,133
1,191,165,11.5,14.9,156
1,191,170,12.1,15.1,163
1,168,100,10.2,11.9,134
1,428,1290,28.4,33.9,253
0,252,470,19.5,28.4,211
0,192,175,11.7,14.2,160
0,195,195,13.6,14,158
0,233,335,16.3,21.3,187
0,364,1150,26.1,28.2,196
1,370,960,25.4,30.4,217
1,400,1130,28.3,29.4,227
1,375,925,25.4,28.6,220
1,398,1205,27.6,33.4,227
1,385,1040,27.2,31.5,238
1,156,100,9.9,11.2,122
1,230,335,16.3,19.7,201
1,220,335,16.2,20,185
1,163,105,10.3,11.7,137
1,376,860,25.6,30,220
1,360,935,25.8,30,212
0,372,1010,24.3,29,197
1,400,1285,29.7,33.5,230
0,194,210,13,14.5,147
1,370,830,23.6,27.8,233
1,160,95,10.2,11.2,135
1,403,1350,28,32.8,140
1,375,1010,25,30.8,218
1,373,960,27.7,32.5,222
1,385,1370,26.4,29.2,233
1,143,170,12.8,13.9,159
1,162,100,8.7,11.4,136
1,392,1250,28.6,32.9,222
1,372,915,24.7,28.2,203
1,375,850,25,28,218
1,415,1285,29.4,34,242
0,161,95,9.8,11.7,129
0,380,1005,27,31.6,205
0,411,1220,28.1,32.7,236
0,161,95,9.6,12.4,121
1,165,100,9.8,12,134
1,393,1265,28.3,32.7,233
1,370,1020,24.6,30,211
0,230,360,16,22.1,186
1,365,895,24.5,28.9,217
1,371,1160,25.7,28.4,218
1,400,1585,29,33.8,241
0,382,1140,24.9,31.6,218
0,371,1115,25.3,29.2,208
0,370,1145,25.4,30.2,212
0,194,185,12.8,14.8,152
0,347,990,25.3,29.8,203
1,195,165,11.7,14.5,153
0,392,1030,26.3,28.1,196
1,220,320,15.5,19.5,184
1,193,105,13,15.6,156
1,365,990,26.4,30,217
0,387,1065,28,32.7,212
1,400,1050,26.1,29.7,237
1,362,840,23.2,26.1,206
